;origin;shrub_cov;herb_cov;kryp_cov;litter_cov;open_cov;WHC [%vol];WHC [weigth%];P;pH_H2O;pH_CaCl;con;C_com;N_com;C/N;L;F;R;N;MV;WV;TV;FW
H30_5_1;Cont. grazed;0;90;70;45;0;46.38;58.29562594;10.63;5.6;4.9;26;17.65;1.3;13.57692308;7.300864333;4.823423747;6.031698461;2.815245941;5.750033329;5.129716038;5.076256499;4.743367551
H30_5_2;Cont. grazed;0;80;50;70;5;42.24;34.83424048;12.16;5.7;4.7;30;15.2;1.1;13.89166667;6.707757351;5.09122807;6.706422018;2.880398671;5.770506852;5.101370402;5.022687037;4.705002951
H30_5_3;Cont. grazed;0;85;15;80;8;42.17;58.49632404;12.54;5.7;4.9;27;25.25;1.7;14.8125;6.839677338;4.871243169;6.577601728;3.590999076;6.214251706;5.613500503;5.401893879;4.732687933
H30_5_4;Cont. grazed;0;80;15;80;10;34.51;33.47560384;13.31;5.8;5;46;21.2;1.6;13.25;6.950660451;4.956268222;6.548436308;4.450643777;5.795454545;4.392857143;4.376623377;4.831168831
H30_5_5;Cont. grazed;0;80;20;90;10;47.35;46.8255538;9.93;6;4.6;32;21.85;1.6;13.68823529;7.141147878;5.275362319;6.541666667;4.495645864;6.061470215;4.790240811;4.678707224;5.496831432
H30_6_1;Cont. grazed;0;75;45;30;5;35.59;22.99392686;8.37;6.1;5.2;24;14.95;1.2;12.45804196;7.620999692;3.783937694;6.449652952;3.378386366;6.163151294;5.24273173;5.130999886;4.710637328
H30_6_2;Cont. grazed;0;75;85;40;0;45.87;39.61824149;13.76;5.7;5.1;26;20.45;1.55;13.18958333;6.892891756;4.084191399;5.686669878;2.138052017;4.812447563;4.519182366;4.553504691;3.391503318
H30_6_3;Cont. grazed;0;95;80;20;0;43.43;36.77080687;10.27;5.9;4.8;20;17.85;1.3;13.73076923;7.269466317;4.461538462;5.438423645;1.51754386;4.350877193;4.122807018;4.122807018;2.600877193
H30_6_4;Cont. grazed;0;75;85;45;0;41.92;38.0399274;11.35;5.8;4.6;26;22.8;1.65;13.80698529;7.06144302;5.062774685;5.920827655;3.339374678;5.658881086;4.604355717;4.762171546;4.454983035
H30_6_5;Cont. grazed;0;75;75;70;5;47.17;42.02601568;8.6;5.7;4.5;34;18;1.45;12.41904762;7.315094571;4.589885375;5.22204181;2.533873287;5.094838026;4.720254314;4.689978807;3.972146533
